	-0.32	-0.92	2387
-0.03	-0.17	-2.00	6291
-0.11	-0.15	-2.00	6296
-0.14	-0.11	-2.00	6301
-0.19	-0.06	-2.00	6306
-0.21	-0.02	-2.00	6311
-0.22	0.02	-2.00	6316
-0.22	0.05	-2.00	6321
-0.19	0.09	-2.00	6326
-0.14	0.10	-2.00	6331
-0.09	0.08	-2.00	6336
-0.03	0.07	-2.00	6340
0.04	0.02	-2.00	6345
0.12	-0.03	-2.00	6350
0.17	-0.09	-2.00	6355
0.23	-0.18	-2.00	6361
0.26	-0.27	-1.92	6366
0.28	-0.35	-1.72	6371
0.31	-0.45	-1.49	6376
0.33	-0.53	-1.25	6380
0.38	-0.56	-1.00	6385
0.45	-0.54	-0.76	6390
0.50	-0.55	-0.57	6395
0.52	-0.58	-0.38	6400
0.47	-0.58	-0.22	6405
0.46	-0.54	-0.04	6410
0.47	-0.46	0.13	6415
0.41	-0.41	0.29	6420
0.35	-0.35	0.43	6424
0.31	-0.32	0.53	6429
0.26	-0.30	0.61	6434
0.23	-0.28	0.69	6439
0.20	-0.26	0.75	6445
0.16	-0.24	0.82	6450
0.16	-0.22	0.89	6455
0.10	-0.25	0.97	6460
0.06	-0.25	1.07	6464
